16416826, 16476992, 16497485, 16445791, 16435123, 16456754, 16505142, 16421529
16406094, 16376885, 16422627, 16386138, 16417405, 16420304, 16407179, 16441405
12118950, 12120301, 12131453, 12122197, 12134513, 12103894, 12116543, 12114528
9613596, 9555232, 9588553, 9606556, 9608888, 9561111, 9604632, 9599098
9468144, 9459041, 9444239, 9454997, 9447909, 9445477, 9440957, 9462620
8268399, 8254189, 8249085, 8258365, 8236209, 8255581, 8248650, 8242937
8242917, 8275996, 8252357, 8288291, 8238311, 8264195, 8233746, 8264136
8275542, 8267230, 8239364, 8242760, 8257514, 8267627, 8241040, 8231891
8273274, 8235825, 8229069, 8300250, 8291285, 8199185, 8225002, 8290724
8254132, 8265648, 8231407, 8272802, 8236884, 8270478, 8229069, 8266956
8219263, 8277524, 8218722, 8279775, 8248317, 8287511, 8251404, 8271678
8251811, 8253812, 8279361, 8269443, 8260714, 8262396, 8245402, 8252652
8244967, 8249056, 8247113, 8235426, 8243169, 8241284, 8257379, 8246707
8230872, 8242508, 8242593, 8252137, 8233127, 8248949, 8243974, 8236902
8252225, 8241106, 8289232, 8250402, 8275249, 8253832, 8255869, 8230601
8273965, 8260908, 8215626, 8250022, 8274996, 8268722, 8216015, 8264232
8283087, 8235278, 8250207, 8258878, 8263688, 8228473, 8281328, 8242717
8271414, 8264214, 8286269, 8242105, 8260933, 8224822, 8251833, 8250932
8222086, 8229539, 8252275, 8252449, 8257582, 8224551, 8243227, 8235078
8227977, 8284379, 8271981, 8265228, 8246858, 8273699, 8244529, 8266321
8270284, 8247461, 8255059, 8267587, 8282609, 8260192, 8254218, 8272923
8259664, 8257450, 8232710, 8265841, 8267741, 8247374, 8237439, 8267194
8258251, 8244124, 8251928, 8269055, 8265534, 8237713, 8281914, 8244379
8249968, 8295655, 8207377, 8282990, 8267418, 8287582, 8186994, 8285038
8288351, 8284929, 8261410, 8269878, 8257698, 8260975, 8257176, 8267877
8240781, 8240988, 8283952, 8250651, 8243207, 8237671, 8289901, 8263566
8241545, 8252960, 8258072, 8284278, 8241473, 8246807, 8264866, 8278022
8262017, 8257348, 8269610, 8250494, 8224600, 8270628, 8284618, 8238716
8254856, 8233077, 8238007, 8233222, 8218548, 8248737, 8234643, 8247983
8242251, 8248640, 8237866, 8247491, 8257403, 8240711, 8231743, 8242924
8290375, 8216815, 8255249, 8232931, 8307632, 8242945, 8262772, 8253853
8265532, 8222599, 8263374, 8257598, 8252666, 8237491, 8261816, 8280603
8234527, 8230148, 8232787, 8230322, 8242357, 8245808, 8252884, 8253058
8234903, 8251654, 8236309, 8241055, 8241888, 8243633, 8247093, 8243444
8258798, 8240145, 8246551, 8288214, 8235342, 8254139, 8246011, 8271433
8253046, 8236338, 8246484, 8254678, 8242793, 8236659, 8245797, 8237129
8244155, 8243633, 8240356, 8240327, 8227857, 8237775, 8233541, 8249491
8250000, 8264198, 8234673, 8245614, 8241988, 8272713, 8230967, 8205466
8236449, 8259867, 8271396, 8245535, 8270652, 8254414, 8259136, 8257682
8269535, 8290916, 8289704, 8278613, 8294652, 8287372, 8292800, 8275877
8253785, 8248281, 8254933, 8242212, 8288082, 8245040, 8258253, 8251470
8251550, 8251231, 8256074, 8258626, 8264600, 8272836, 8255001, 8247026
8254979, 8246761, 8275176, 8253671, 8251554, 8269493, 8256743, 8245273
8248813, 8243977, 8234337, 8236676, 8231495, 8236888, 8236387, 8256364
8305026, 8305171, 8304562, 8305258, 8305780, 8305519, 8304620, 8304185
8255349, 8263817, 8263556, 8254653, 8250332, 8254653, 8259583, 8261062
8218898, 8233360, 8279297, 8294986, 8202157, 8223909, 8297323, 8296734
8302909, 8302271, 8302416, 8302503, 8304301, 8304388, 8302126, 8301401
8254602, 8296978, 8245571, 8236074, 8262938, 8278750, 8242346, 8243566
8255215, 8242381, 8251894, 8252948, 8230917, 8283266, 8258728, 8284826
8264719, 8262325, 8251046, 8263341, 8269675, 8234050, 8237851, 8264719
8259657, 8264901, 8248986, 8236531, 8242168, 8264170, 8245319, 8270111
8229183, 8253095, 8279397, 8260897, 8243342, 8256858, 8261415, 8245828
8262789, 8281319, 8273461, 8232156, 8224093, 8249744, 8271190, 8239022
8266109, 8249789, 8252449, 8247540, 8257724, 8261925, 8286263, 8248732
8241197, 8233454, 8247200, 8246562, 8245228, 8242966, 8250854, 8233396
8255449, 8257773, 8204768, 8250591, 8265191, 8287970, 8236996, 8255391
8276954, 8272981, 8258626, 8266833, 8271212, 8260830, 8275185, 8271183
8240675, 8240965, 8258568, 8235049, 8242821, 8237137, 8228031, 8223942
8230130, 8267753, 8281769, 8222751, 8246655, 8268825, 8291936, 8234722
8273236, 8291829, 8306366, 8283407, 8272734, 8296776, 8303989, 8275537
8277853, 8286002, 8279622, 8276432, 8283595, 8278346, 8273677, 8283276
8239358, 8247036, 8297111, 8242013, 8251008, 8254937, 8276028, 8236269
8243724, 8237313, 8294129, 8260825, 8250342, 8254121, 8274962, 8238932
8291818, 8229298, 8261503, 8228991, 8280127, 8266849, 8255144, 8236839
8263962, 8235929, 8253597, 8236683, 8246886, 8249570, 8250312, 8277651
8256944, 8246997, 8266427, 8250825, 8251144, 8231105, 8264252, 8251115
8239708, 8253198, 8270368, 8263516, 8269507, 8265440, 8258017, 8248946
8255204, 8258510, 8247577, 8246185, 8254653, 8241284, 8248099, 8248911
8220828, 8292732, 8241582, 8261031, 8248726, 8294183, 8219731, 8263113
8259773, 8269280, 8223994, 8270929, 8238229, 8250942, 8262705, 8277044
8250448, 8239979, 8249984, 8251028, 8236760, 8255610, 8259786, 8268863
8251376, 8275475, 8245489, 8220723, 8270516, 8238935, 8252826, 8267587
8253622, 8248517, 8253586, 8235714, 8221169, 8274452, 8268686, 8260972
8249628, 8270619, 8246724, 8247138, 8242979, 8263198, 8251495, 8243731
