27199841, 23366022, 28244503, 22562433, 17144396
24010348, 20119943, 23864695, 19852327, 14552711
14986383, 14985039, 14981763, 14980104, 14988210
14977353, 14977437, 14982708, 14983485, 14982288
20897599, 16877420, 20507622, 13515623, 16148784
20588501, 17359411, 20177242, 13555405, 16280369
20998011, 9326358, 16394307, 17971176, 18486495
20334693, 17750743, 20399688, 13431078, 15957707
21268113, 9796548, 16398549, 17816511, 17784045
20522865, 10124400, 16896585, 17892216, 17801286
20690298, 8929374, 16985226, 18271518, 18365640
20906220, 8796486, 17876550, 17750970, 17902296
20944776, 9170223, 16895346, 18159084, 18032664
21641031, 9501645, 16576587, 17491053, 17926383
19923358, 17080955, 19182874, 14110961, 17071494
20455432, 17584675, 19842449, 13586978, 16421780
21217293, 9319386, 17008368, 17774301, 17886882
20857269, 8511054, 17798241, 17352243, 18649959
20608587, 9536694, 16838625, 17911662, 18248355
20832858, 16986271, 20511652, 13547100, 16056452
20738250, 17127598, 20309734, 13600624, 16180714
20946960, 9549462, 16643031, 18077268, 17988186
19804749, 17453752, 21258018, 13839970, 15547982
20986944, 9527412, 16370787, 17934300, 18259737
21109689, 9015243, 17039742, 17864748, 18118554
20752059, 9144183, 17426352, 17668776, 18238485
20767872, 9679200, 16364361, 17865189, 18509007
20435591, 17598684, 20427672, 13430268, 16064178
20799231, 16989903, 20588928, 13530023, 16041843
20896655, 18000317, 19551071, 13131373, 16225303
21019389, 9240531, 17025777, 18152574, 17736795
20704305, 9277176, 16707522, 18071388, 18429774
20637469, 17321346, 20214464, 13580442, 16177537
20693456, 17078924, 20611091, 13535879, 15999398
20882847, 9229779, 16375764, 18209022, 18494643
20335813, 17181091, 20747523, 13583926, 16086162
20689451, 16988431, 20637212, 13570738, 16031931
19922070, 17489773, 21132231, 13786900, 15590239
20408600, 17415105, 20692550, 13632055, 15701897
20533709, 17132476, 20673218, 13484880, 16077132
18405893, 17251149, 22816529, 14537486, 14854004
20235062, 17449912, 20650685, 13606419, 15987983
20361101, 17613967, 20468111, 13615775, 15828210
20801990, 17102055, 20334586, 13542029, 16104125
20271964, 17492987, 20801978, 13722148, 15579853
20228415, 17473772, 20565680, 13655543, 15998177
20400743, 17122970, 20956333, 13635167, 15850504
20693742, 16996418, 20672418, 13536008, 16033256
20167508, 18285968, 19385471, 13576544, 16536425
20350865, 17348043, 20812064, 13731829, 15709986
20052363, 17355416, 21168173, 14116084, 15164626
20392252, 17710697, 19957548, 13565517, 16344683
20680167, 17016953, 20713021, 13559187, 15988107
20772708, 17104267, 20432274, 13527547, 16054958
21084985, 16676966, 20600748, 13390313, 16351857
20766130, 16957363, 20594629, 13521818, 16098839
20746642, 16988081, 20574560, 13557676, 16092047
20131365, 17338063, 21173763, 14067055, 15169901
20352307, 17396446, 20554308, 13570839, 16056654
20441747, 17220216, 20734830, 13529672, 16009032
20169228, 17515710, 20721293, 13607884, 15858516
20402471, 17305035, 20661223, 13593360, 15996728
20253147, 17327927, 20717692, 13600066, 16017194
21188790, 16894219, 20208934, 13234467, 16619425
20970510, 17849264, 19718902, 13120447, 16101181
17782350, 17287575, 23413272, 14900587, 14473911
7485771, 7492428, 7494738, 7494822, 7488732
7497048, 7491735, 7489488, 7492659, 7484532
7492113, 7494276, 7487976, 7488081, 7489320
7490937, 7486611, 7492407, 7489593, 7488753
7487241, 7488312, 7490202, 7486380, 7488333
